county,cornhec,soyhec,cornpix,soypix,segment,name,mn_cornpix,mn_soypix
A,165.75999450683594,8.09000015258789,374,55,A,Cerro Gordo,295.2900085449219,189.6999969482422
B,96.31999969482422,106.02999877929688,209,218,B,Hamilton,300.3999938964844,196.64999389648438
C,76.08000183105469,103.5999984741211,253,250,C,Worth,289.6000061035156,205.27999877929688
D,185.35000610351562,6.46999979019165,432,96,D,Humboldt,290.739990234375,220.22000122070312
D,116.43000030517578,63.81999969482422,367,178,E,Humboldt,290.739990234375,220.22000122070312
E,162.0800018310547,43.5,361,137,F,Franklin,318.2099914550781,188.05999755859375
E,152.0399932861328,71.43000030517578,288,206,G,Franklin,318.2099914550781,188.05999755859375
E,161.75,42.4900016784668,369,165,H,Franklin,318.2099914550781,188.05999755859375
F,92.87999725341797,105.26000213623047,206,218,I,Pocahontas,257.1700134277344,247.1300048828125
F,149.94000244140625,76.48999786376953,316,221,J,Pocahontas,257.1700134277344,247.1300048828125
F,64.75,174.33999633789062,145,338,K,Pocahontas,257.1700134277344,247.1300048828125
G,127.06999969482422,95.66999816894531,355,128,L,Winnebago,291.7699890136719,185.3699951171875
G,133.5500030517578,76.56999969482422,295,147,M,Winnebago,291.7699890136719,185.3699951171875
G,77.69999694824219,93.4800033569336,223,204,N,Winnebago,291.7699890136719,185.3699951171875
H,206.38999938964844,37.84000015258789,459,77,O,Wright,301.260009765625,221.36000061035156
H,108.33000183105469,131.1199951171875,290,217,P,Wright,301.260009765625,221.36000061035156
H,118.16999816894531,124.44000244140625,307,258,Q,Wright,301.260009765625,221.36000061035156
I,99.95999908447266,144.14999389648438,252,303,R,Webster,262.1700134277344,247.08999633789062
I,140.42999267578125,103.5999984741211,293,221,S,Webster,262.1700134277344,247.08999633789062
I,98.94999694824219,88.58999633789062,206,222,T,Webster,262.1700134277344,247.08999633789062
I,131.0399932861328,115.58000183105469,302,274,U,Webster,262.1700134277344,247.08999633789062
J,114.12000274658203,99.1500015258789,313,190,V,Hancock,314.2799987792969,198.66000366210938
J,100.5999984741211,124.55999755859375,246,270,W,Hancock,314.2799987792969,198.66000366210938
J,127.87999725341797,110.87999725341797,353,172,X,Hancock,314.2799987792969,198.66000366210938
J,116.9000015258789,109.13999938964844,271,228,Y,Hancock,314.2799987792969,198.66000366210938
J,87.41000366210938,143.66000366210938,237,297,Z,Hancock,314.2799987792969,198.66000366210938
K,93.4800033569336,91.05000305175781,221,167,a,Kossuth,298.6499938964844,204.61000061035156
K,121.0,132.3300018310547,369,191,b,Kossuth,298.6499938964844,204.61000061035156
K,109.91000366210938,143.13999938964844,343,249,c,Kossuth,298.6499938964844,204.61000061035156
K,122.66000366210938,104.12999725341797,342,182,d,Kossuth,298.6499938964844,204.61000061035156
K,104.20999908447266,118.56999969482422,294,179,e,Kossuth,298.6499938964844,204.61000061035156
L,88.58999633789062,102.58999633789062,220,262,f,Hardin,325.989990234375,177.0500030517578
L,165.35000610351562,69.27999877929688,355,160,h,Hardin,325.989990234375,177.0500030517578
L,104.0,99.1500015258789,261,221,i,Hardin,325.989990234375,177.0500030517578
L,88.62999725341797,143.66000366210938,187,345,j,Hardin,325.989990234375,177.0500030517578
L,153.6999969482422,94.48999786376953,350,190,k,Hardin,325.989990234375,177.0500030517578
