H,b,A,Y,G
A,1,a,268,1:1
A,2,a,279,1:2
A,3,a,261,1:3
A,1,b,242,1:1
A,2,b,261,1:2
A,3,b,258,1:3
A,1,c,242,1:1
A,2,c,245,1:2
A,3,c,234,1:3
A,1,d,225,1:1
A,2,d,231,1:2
A,3,d,219,1:3
A,1,e,236,1:1
A,2,e,260,1:2
A,3,e,248,1:3
B,1,a,238,2:1
B,2,a,220,2:2
B,3,a,243,2:3
B,1,b,215,2:1
B,2,b,192,2:2
B,3,b,226,2:3
B,1,c,198,2:1
B,2,c,151,2:2
B,3,c,191,2:3
B,1,d,195,2:1
B,2,d,182,2:2
B,3,d,202,2:3
B,1,e,201,2:1
B,2,e,161,2:2
B,3,e,196,2:3
C,1,a,221,3:1
C,2,a,216,3:2
C,3,a,224,3:3
C,1,b,208,3:1
C,2,b,197,3:2
C,3,b,201,3:3
C,1,c,186,3:1
C,2,c,173,3:2
C,3,c,161,3:3
C,1,d,207,3:1
C,2,d,183,3:2
C,3,d,186,3:3
C,1,e,200,3:1
C,2,e,207,3:2
C,3,e,190,3:3
D,1,a,194,4:1
D,2,a,194,4:2
D,3,a,197,4:3
D,1,b,203,4:1
D,2,b,191,4:2
D,3,b,204,4:3
D,1,c,177,4:1
D,2,c,170,4:2
D,3,c,180,4:3
D,1,d,180,4:1
D,2,d,195,4:2
D,3,d,193,4:3
D,1,e,199,4:1
D,2,e,183,4:2
D,3,e,208,4:3
