school,mli,mls
1,3.9483862,0.15261148
2,4.9378366,0.20455839
3,5.6925898,0.022256367
4,0.15262134,0.20471726
5,2.7195241,0.123287514
6,6.14715,-0.02138594
7,4.1003113,-0.31445414
8,-0.13688594,0.010677955
9,-2.2585998,-0.15553337
10,-3.1372983,-0.26167986
11,2.7746687,-0.09809557
12,-0.56804955,-0.07986082
13,-1.4096185,0.067914024
14,-1.7104696,0.050178684
15,-2.277387,0.17819102
16,-3.7413645,-0.14978923
17,-1.7507782,-0.059098545
18,-0.45836058,-0.19734384
19,-0.8714819,0.23607256
20,2.8171806,-0.037791546
21,2.802232,-0.0022427454
22,-4.53888,-0.030608797
23,-6.260862,-0.1639214
24,1.8923434,-0.15911637
25,-2.5628233,-0.024670824
26,-0.2439717,-0.012933456
27,0.46690115,0.016136363
28,-7.6132684,-0.2745146
29,2.159284,-0.15621431
30,1.3035842,0.24917218
31,-0.27722386,-0.15444541
32,0.72436106,0.10805229
33,0.50282586,-0.051793717
34,-0.9613735,0.17445514
35,1.4323472,-0.16008529
36,-1.9541022,-0.11838192
37,-4.7371974,-0.3184623
38,-1.4416704,0.06516982
39,1.3904613,-0.10414113
40,-2.386918,0.16955182
41,2.2400048,-0.07332119
42,0.94853985,-0.14174116
43,-1.5794649,0.17474835
44,-3.3289757,-0.18710478
45,-1.0804243,0.009326926
46,-3.7917023,-0.09246702
47,-0.17645106,0.10869175
48,-32.607,-7.4584837
49,0.5897539,-0.07217576
50,-3.146829,0.118655115
51,-1.3179445,-0.21723875
52,3.9954154,0.18354085
53,6.0520635,0.52025
54,-6.445193,-0.5186326
55,5.6131415,0.06899345
56,0.52045166,0.3167714
57,0.5205813,0.05563979
58,2.1857886,-0.20093666
59,-8.404169,-0.19501886
60,2.6346633,0.08107918
61,-0.27990645,0.079019025
62,-0.41806057,-0.011282352
63,6.9537997,-0.22512701
64,0.4899656,0.1487925
65,-1.6339241,0.011727234
