year,ez,luclms,city
1983,0,11.333464,1
1984,1,10.735288,1
1983,0,11.285598,2
1984,0,10.630456,2
1983,0,11.0285635,3
1984,0,10.642301,3
1983,0,10.997238,4
1984,0,10.311017,4
1983,0,11.028368,5
1984,0,11.066591,5
1983,0,12.05568,6
1984,1,11.637353,6
1983,0,12.449575,7
1984,1,11.74283,7
1983,0,11.359914,8
1984,0,11.328762,8
1983,0,11.905373,9
1984,0,11.581565,9
1983,0,13.209687,10
1984,0,12.736972,10
1983,0,11.117524,11
1984,0,10.390502,11
1983,0,11.488243,12
1984,0,10.970884,12
1983,0,10.80813,13
1984,0,10.547339,13
1983,0,10.438635,14
1984,0,10.700566,14
1983,0,11.13266,15
1984,0,10.619863,15
1983,0,12.028296,16
1984,0,11.786313,16
1983,0,11.132411,17
1984,1,10.643566,17
1983,0,11.368177,18
1984,0,10.939035,18
1983,0,11.609608,19
1984,0,11.469005,19
1983,0,11.033178,20
1984,1,10.688416,20
1983,0,11.798127,21
1984,1,11.442889,21
1983,0,11.844586,22
1984,0,11.297316,22
