pair,member,type,patt,sex,h,freq,gender,M,male
1,1,d,1,f,0,384,f,0,0
1,2,d,1,f,0,384,f,0,0
2,1,m,1,f,0,638,f,1,0
2,2,m,1,f,0,638,f,1,0
3,1,d,1,m,0,182,m,0,1
3,2,d,1,m,0,182,m,0,1
4,1,m,1,m,0,334,m,1,1
4,2,m,1,m,0,334,m,1,1
5,1,d,1,o,0,447,f,0,0
5,2,d,1,o,0,447,m,0,1
6,1,d,2,f,0,123,f,0,0
6,2,d,2,f,1,123,f,0,0
7,1,m,2,f,0,174,f,1,0
7,2,m,2,f,1,174,f,1,0
8,1,d,2,m,0,68,m,0,1
8,2,d,2,m,1,68,m,0,1
9,1,m,2,m,0,63,m,1,1
9,2,m,2,m,1,63,m,1,1
10,1,d,2,o,0,153,f,0,0
10,2,d,2,o,1,153,m,0,1
11,1,d,3,f,1,138,f,0,0
11,2,d,3,f,0,138,f,0,0
12,1,m,3,f,1,163,f,1,0
12,2,m,3,f,0,163,f,1,0
13,1,d,3,m,1,68,m,0,1
13,2,d,3,m,0,68,m,0,1
14,1,m,3,m,1,71,m,1,1
14,2,m,3,m,0,71,m,1,1
15,1,d,3,o,1,181,f,0,0
15,2,d,3,o,0,181,m,0,1
16,1,d,4,f,1,106,f,0,0
16,2,d,4,f,1,106,f,0,0
17,1,m,4,f,1,257,f,1,0
17,2,m,4,f,1,257,f,1,0
18,1,d,4,m,1,34,m,0,1
18,2,d,4,m,1,34,m,0,1
19,1,m,4,m,1,98,m,1,1
19,2,m,4,m,1,98,m,1,1
20,1,d,4,o,1,125,f,0,0
20,2,d,4,o,1,125,m,0,1
